session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
9vfoiax5,1,mbi772qr,0,,InitializeParticipant,1787597341,1,0,0
9vfoiax5,1,mbi772qr,1,intro,Consent,1787597350,1,0,0
9vfoiax5,1,mbi772qr,2,intro,Instructions,1787597353,1,0,0
9vfoiax5,2,ttbhrq7x,0,,InitializeParticipant,1787598242,1,0,0
9vfoiax5,3,h6ra9n61,0,,InitializeParticipant,1787598244,1,0,0
9vfoiax5,4,4tucoz6l,0,,InitializeParticipant,1787598247,1,0,0
9vfoiax5,5,47cbw4kl,0,,InitializeParticipant,1787598247,1,0,0
9vfoiax5,6,w1hg4dq2,0,,InitializeParticipant,1787598248,1,0,0
9vfoiax5,7,2am1bt7m,0,,InitializeParticipant,1787598248,1,0,0
9vfoiax5,8,f0dtgw15,0,,InitializeParticipant,1787598248,1,0,0
9vfoiax5,9,gtr4o4u4,0,,InitializeParticipant,1787598249,1,0,0
9vfoiax5,10,edlvyy4x,0,,InitializeParticipant,1787598249,1,0,0
9vfoiax5,11,454urtzl,0,,InitializeParticipant,1787598249,1,0,0
9vfoiax5,12,y7r9sa4u,0,,InitializeParticipant,1787598250,1,0,0
9vfoiax5,13,pm665xdw,0,,InitializeParticipant,1787598250,1,0,0
9vfoiax5,14,qgszrtu9,0,,InitializeParticipant,1787598251,1,0,0
9vfoiax5,15,0z4ddbix,0,,InitializeParticipant,1787598251,1,0,0
9vfoiax5,16,t6rthajw,0,,InitializeParticipant,1787598252,1,0,0
9vfoiax5,17,wel7w6gg,0,,InitializeParticipant,1787598253,1,0,0
9vfoiax5,18,u4dpd5wy,0,,InitializeParticipant,1787598254,1,0,0
9vfoiax5,19,y3uiqp3t,0,,InitializeParticipant,1787598254,1,0,0
9vfoiax5,20,atqtlu6a,0,,InitializeParticipant,1787598255,1,0,0
9vfoiax5,21,cuq5iz33,0,,InitializeParticipant,1787598255,1,0,0
9vfoiax5,22,4yux8e22,0,,InitializeParticipant,1787598256,1,0,0
9vfoiax5,23,f291tr7u,0,,InitializeParticipant,1787598257,1,0,0
9vfoiax5,24,w3cukoe0,0,,InitializeParticipant,1787598263,1,0,0
9vfoiax5,25,ms2vytj1,0,,InitializeParticipant,1787598263,1,0,0
9vfoiax5,11,454urtzl,1,intro,Consent,1787598265,1,0,0
9vfoiax5,26,4zd5ned9,0,,InitializeParticipant,1787598266,1,0,0
9vfoiax5,27,mknb67le,0,,InitializeParticipant,1787598267,1,0,0
9vfoiax5,28,sp03734d,0,,InitializeParticipant,1787598270,1,0,0
9vfoiax5,17,wel7w6gg,1,intro,Consent,1787598270,1,0,0
9vfoiax5,12,y7r9sa4u,1,intro,Consent,1787598270,1,0,0
9vfoiax5,29,m7hitpc7,0,,InitializeParticipant,1787598272,1,0,0
9vfoiax5,30,92y585sb,0,,InitializeParticipant,1787598272,1,0,0
9vfoiax5,31,ki9t1ots,0,,InitializeParticipant,1787598273,1,0,0
9vfoiax5,14,qgszrtu9,1,intro,Consent,1787598275,1,0,0
9vfoiax5,32,8ygvklh3,0,,InitializeParticipant,1787598275,1,0,0
9vfoiax5,10,edlvyy4x,1,intro,Consent,1787598278,1,0,0
9vfoiax5,25,ms2vytj1,1,intro,Consent,1787598279,1,0,0
9vfoiax5,33,j6pfvo4x,0,,InitializeParticipant,1787598281,1,0,0
9vfoiax5,34,mrwqmc94,0,,InitializeParticipant,1787598289,1,0,0
9vfoiax5,13,pm665xdw,1,intro,Consent,1787598293,1,0,0
9vfoiax5,18,u4dpd5wy,1,intro,Consent,1787598293,1,0,0
9vfoiax5,34,mrwqmc94,1,intro,Consent,1787598294,1,0,0
9vfoiax5,27,mknb67le,1,intro,Consent,1787598294,1,0,0
9vfoiax5,21,cuq5iz33,1,intro,Consent,1787598294,1,0,0
9vfoiax5,32,8ygvklh3,1,intro,Consent,1787598297,1,0,0
9vfoiax5,20,atqtlu6a,1,intro,Consent,1787598301,1,0,0
9vfoiax5,16,t6rthajw,1,intro,Consent,1787598304,1,0,0
9vfoiax5,35,8lotxa0v,0,,InitializeParticipant,1787598304,1,0,0
9vfoiax5,19,y3uiqp3t,1,intro,Consent,1787598305,1,0,0
9vfoiax5,2,ttbhrq7x,1,intro,Consent,1787598305,1,0,0
9vfoiax5,33,j6pfvo4x,1,intro,Consent,1787598306,1,0,0
9vfoiax5,36,zy0t07g5,0,,InitializeParticipant,1787598306,1,0,0
9vfoiax5,36,zy0t07g5,1,intro,Consent,1787598310,1,0,0
9vfoiax5,28,sp03734d,1,intro,Consent,1787598312,1,0,0
9vfoiax5,26,4zd5ned9,1,intro,Consent,1787598312,1,0,0
9vfoiax5,36,zy0t07g5,2,intro,Instructions,1787598314,1,0,0
9vfoiax5,35,8lotxa0v,1,intro,Consent,1787598316,1,0,0
9vfoiax5,5,47cbw4kl,1,intro,Consent,1787598318,1,0,0
9vfoiax5,3,h6ra9n61,1,intro,Consent,1787598319,1,0,0
9vfoiax5,4,4tucoz6l,1,intro,Consent,1787598319,1,0,0
9vfoiax5,6,w1hg4dq2,1,intro,Consent,1787598322,1,0,0
9vfoiax5,23,f291tr7u,1,intro,Consent,1787598322,1,0,0
